,time,cpu%,mem%
270,20210108-095920,0.0,0.5917168747044346
271,20210108-095923,0.0,0.5917168747044346
272,20210108-095926,0.0,0.5917168747044346
273,20210108-095929,0.0,0.5917168747044346
274,20210108-095932,0.015,0.5917168747044346
275,20210108-095935,0.0,0.5917168747044346
276,20210108-095938,0.0,0.5917168747044346
277,20210108-095941,0.0,0.5917168747044346
278,20210108-095944,0.015,0.5917168747044346
279,20210108-095947,0.0,0.5917168747044346
280,20210108-095950,0.0,0.5917168747044346
281,20210108-095953,0.015,0.5917168747044346
282,20210108-095956,0.28500000000000003,0.6497687006101727
283,20210108-095959,0.0,0.6497687006101727
284,20210108-100002,0.0,0.6497687006101727
285,20210108-100005,0.0,0.6497687006101727
286,20210108-100008,0.015,0.6497687006101727
287,20210108-100011,0.0,0.6497687006101727
288,20210108-100014,0.015,0.6497687006101727
289,20210108-100017,0.0,0.6497687006101727
290,20210108-100020,0.0,0.6497687006101727
291,20210108-100023,0.015,0.6497687006101727
292,20210108-100026,0.0,0.6497687006101727
293,20210108-100029,0.0,0.6497687006101727
294,20210108-100032,0.0,0.6497687006101727
295,20210108-100035,0.015,0.6497687006101727
296,20210108-100038,0.0,0.6497687006101727
297,20210108-100041,0.0,0.6497687006101727
298,20210108-100044,0.0,0.6497687006101727
299,20210108-100047,0.015,0.6497687006101727
300,20210108-100050,0.0,0.6497687006101727
301,20210108-100053,0.0,0.6497687006101727
302,20210108-100056,0.0,0.6497687006101727
303,20210108-100059,0.0,0.6497687006101727
304,20210108-100102,0.0,0.6497687006101727
305,20210108-100105,0.015,0.6497687006101727
306,20210108-100108,0.015,0.6497687006101727
307,20210108-100111,0.0,0.6497687006101727
308,20210108-100115,0.0,0.6497687006101727
309,20210108-100118,0.0,0.6497687006101727
310,20210108-100121,0.0,0.6497687006101727
311,20210108-100124,0.015,0.6497687006101727
312,20210108-100127,0.0,0.6497687006101727
313,20210108-100130,0.0,0.6497687006101727
314,20210108-100133,0.0,0.6497687006101727
