,requests
1382,876600
1383,753975
1384,949050
1385,1176975
1386,880425
1387,266850
1388,512100
1389,266400
1390,609750
1391,599400
1392,1240875
1393,1037700
1394,1080000
1395,959175
1396,525150
1397,1019700
1398,691875
1399,551025
1400,151650
1401,627975
1402,1038150
1403,996975
1404,1014975
1405,1010700
1406,1064025
1407,892350
1408,352800
1409,422775
1410,949725
1411,1013850
1412,1106100
1413,1184625
1414,995175
1415,1213875
1416,1134900
1417,1196550
1418,1132425
1419,1228275
1420,1163700
1421,992025
1422,1204425
1423,827100
1424,1156500
1425,1298250
1426,1191375
1427,1254150
1428,1320525
1429,1465875
1430,1414350
1431,1289700
1432,1176750
1433,1155600
1434,1100700
1435,1096650
1436,1063350
1437,1311300
1438,1406025
1439,1236825
1440,1105875
1441,1107225
1442,1050300
1443,870525
1444,913500
1445,1314675
1446,1406925
1447,1467675
1448,1513575
1449,1573650
1450,1749375
1451,1805175
1452,1706625
1453,1537650
1454,1558125
1455,1556100
1456,1647900
1457,1568025
1458,1533150
1459,1568250
1460,1570950
1461,1599750
1462,1509300
1463,1450575
1464,1581750
1465,1601550
1466,1576350
1467,1471500
1468,1482300
1469,1438650
1470,1262700
1471,1304325
1472,1429875
1473,1385550
1474,1312875
1475,1052550
1476,1138500
1477,1256850
1478,1180125
1479,1458900
1480,1179900
1481,1134675
1482,1151775
1483,1447200
1484,1237950
1485,1406700
1486,1446075
1487,1390725
1488,1431900
1489,1450125
1490,1398600
1491,1406925
1492,1263375
1493,1296225
1494,1170225
1495,1198350
1496,1124100
1497,1192950
1498,1198125
1499,1157175
1500,1230975
1501,1223550
1502,1144800
1503,1366650
1504,1228725
1505,1153575
1506,1142775
1507,1106775
1508,1142550
1509,1125225
1510,1172475
1511,1220850
1512,1222425
1513,1236150
1514,1156725
1515,1188000
1516,1237725
1517,1215225
1518,1214775
1519,1162350
1520,1071900
1521,1270125
1522,1356300
1523,1227825
1524,1261350
1525,1160325
1526,992475
1527,954000
1528,1050075
1529,973125
1530,994950
1531,881550
1532,902700
1533,879300
1534,1142550
1535,1160775
1536,1222650
1537,984375
1538,876150
1539,650025
1540,304650
1541,882225
1542,591300
1543,814050
1544,873000
1545,911250
1546,759150
1547,746550
1548,874125
1549,663525
1550,420525
1551,1011375
1552,410175
1553,266175
1554,500400
1555,303525
1556,609525
1557,954450
1558,859275
1559,613125
1560,856350
1561,642150
1562,378000
1563,768150
1564,678150
1565,703800
1566,986850
1567,742950
1568,616725
1569,643275
1570,801225
1571,404550
1572,982575
1573,943425
1574,560250
1575,954225
1576,416475
1577,481950
1578,447750
1579,704475
1580,92700
1581,132075
1582,588600
1583,137025
1584,434925
1585,131625
1586,23850
1587,188100
1588,203400
1589,469350
1590,409500
1591,1162800
1592,1083825
1593,801000
1594,50850
1595,1125
1596,216225
1597,31950
1598,24750
1599,16425
1600,9900
1601,54450
1602,19350
1603,188100
1604,14850
1605,450
1606,174150
1607,153225
1608,335925
1609,386100
1610,72900
1611,38925
1612,146475
1613,64350
1614,345150
1615,441675
1616,45450
1617,414225
1618,263025
1619,218025
1620,459450
1621,316575
1622,450
1623,269325
1624,221625
1625,214875
1626,316125
1627,230625
1628,191700
1629,955800
1630,875700
1631,82800
1632,474525
1633,126675
1634,107325
1635,572625
1636,569475
1637,282825
1638,262125
1639,506475
1640,334800
1641,336375
1642,800325
1643,393750
1644,96750
1645,142425
1646,242325
1647,909450
1648,194400
1649,401850
1650,16425
1651,144225
1652,127125
1653,260775
1654,442575
1655,92700
1656,27450
1657,156825
1658,72675
1659,146925
1660,450
1661,450
1662,450
1663,243000
1664,41175
1665,64575
1666,364050
1667,1048275
1668,1057725
1669,1292400
1670,1047375
1671,839700
1672,382275
1673,1028025
1674,1065150
1675,1039950
1676,1136700
1677,920700
1678,1074375
1679,1213875
1680,1065150
1681,441900
1682,794475
1683,1076400
1684,1015875
1685,1269675
1686,1160775
1687,1176975
1688,1165500
1689,1064700
1690,1167525
1691,1300950
1692,1132200
1693,1137825
1694,1158525
1695,1143675
1696,592200
1697,809100
1698,827775
1699,837675
1700,933975
1701,1166175
1702,1240650
1703,1210500
1704,1157175
1705,1124550
1706,1069425
1707,1018800
1708,1119150
1709,1272825
1710,1285200
1711,1288575
1712,1317825
1713,1240425
1714,1291950
1715,1338750
1716,1378125
1717,1297125
1718,1379700
1719,1172250
1720,1123200
1721,1016100
1722,1308825
1723,1241775
1724,887400
1725,1217025
1726,1422000
1727,1460250
1728,1331550
1729,1296450
1730,1281150
1731,1514925
1732,1584900
1733,1439550
1734,1625400
1735,1518300
1736,1436625
1737,1464300
1738,1613250
1739,1781550
1740,1799550
1741,1693575
1742,1651950
1743,1568925
1744,1488825
1745,1500525
1746,1447200
1747,1503900
1748,1595025
1749,1536300
1750,1583325
1751,1458225
1752,1497375
1753,1399500
1754,1461600
1755,1560150
1756,1487025
1757,1291275
1758,1482300
1759,1417050
1760,1221075
